ID,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
100001325,female,married,57,university,62002,unemployed/ unskilled,small city
100001326,female,married,28,high school,127262,skilled employee / official,small city
100001327,female,married,24,high school,122846,skilled employee / official,mid-sized city
100001328,female,married,25,high school,61907,unemployed/ unskilled,small city
100001329,female,single,31,high school,89287,unemployed/ unskilled,small city
100001330,female,single,33,high school,103696,skilled employee / official,mid-sized city
100001331,female,married,50,university,147603,skilled employee / official,small city
100001332,female,married,58,university,139229,unemployed/ unskilled,mid-sized city
100001333,female,married,27,high school,107932,unemployed/ unskilled,small city
100001334,female,married,48,university,116235,unemployed/ unskilled,small city
100001335,female,married,22,high school,85974,unemployed/ unskilled,small city
100001336,female,married,40,high school,124001,unemployed/ unskilled,small city
100001337,female,married,32,high school,121428,skilled employee / official,small city
100001338,female,single,25,high school,93233,unemployed/ unskilled,small city
100001339,female,married,27,high school,67965,unemployed/ unskilled,small city
100001340,female,married,27,high school,88001,unemployed/ unskilled,small city
100001341,female,married,23,high school,129112,skilled employee / official,small city
100001342,female,married,32,high school,109324,skilled employee / official,mid-sized city
100001343,female,married,25,high school,112785,skilled employee / official,mid-sized city
100001344,female,married,46,university,136735,unemployed/ unskilled,small city
100001345,female,married,21,high school,107779,skilled employee / official,mid-sized city
100001346,female,married,29,high school,103526,skilled employee / official,small city
100001347,female,married,31,high school,93171,unemployed/ unskilled,small city
100001348,female,single,26,high school,106559,unemployed/ unskilled,small city
100001349,female,married,23,high school,112728,skilled employee / official,mid-sized city
100001350,female,single,38,high school,102855,skilled employee / official,mid-sized city
100001351,female,single,35,high school,85381,unemployed/ unskilled,small city
100001352,female,married,27,high school,100762,skilled employee / official,mid-sized city
100001353,female,married,22,high school,131445,skilled employee / official,mid-sized city
100001354,female,married,52,university,123194,skilled employee / official,small city
100001355,female,married,19,high school,99519,skilled employee / official,mid-sized city
100001356,female,married,23,high school,112853,skilled employee / official,small city
100001357,female,single,42,high school,110509,skilled employee / official,small city
100001358,female,married,27,high school,106446,skilled employee / official,mid-sized city
100001359,female,married,39,university,89665,unemployed/ unskilled,small city
100001360,female,married,50,university,128233,skilled employee / official,mid-sized city
100001361,female,married,36,high school,133615,skilled employee / official,small city
100001362,female,married,25,high school,115833,skilled employee / official,mid-sized city
100001363,female,married,27,high school,65560,unemployed/ unskilled,small city
100001364,female,married,30,high school,118642,skilled employee / official,small city
100001365,female,single,22,high school,63635,unemployed/ unskilled,small city
100001366,female,married,27,high school,122649,skilled employee / official,mid-sized city
100001367,female,single,31,high school,143321,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001368,female,married,29,high school,99556,skilled employee / official,small city
100001369,female,single,34,high school,36760,unemployed/ unskilled,small city
100001370,female,single,33,high school,71935,unemployed/ unskilled,small city
100001371,female,married,26,high school,114977,skilled employee / official,small city
100001372,female,married,36,high school,147691,skilled employee / official,mid-sized city
100001373,female,married,26,high school,54296,unemployed/ unskilled,small city
100001374,female,married,39,high school,80014,unemployed/ unskilled,small city
100001375,female,married,44,university,77887,unemployed/ unskilled,small city
100001376,female,married,46,university,98517,unemployed/ unskilled,small city
100001377,female,married,31,high school,103012,unemployed/ unskilled,small city
100001378,female,single,26,high school,121377,skilled employee / official,small city
100001379,female,married,22,high school,91359,skilled employee / official,mid-sized city
100001380,female,single,48,university,104833,unemployed/ unskilled,small city
100001381,female,married,27,high school,101209,skilled employee / official,small city
100001382,female,single,30,high school,58207,unemployed/ unskilled,small city
100001383,female,married,27,high school,116708,skilled employee / official,mid-sized city
100001384,female,married,36,high school,107471,skilled employee / official,mid-sized city
100001385,female,married,31,high school,128495,skilled employee / official,small city
100001386,female,single,21,high school,124468,skilled employee / official,small city
100001387,female,married,26,high school,106922,skilled employee / official,mid-sized city
100001388,female,single,24,high school,104291,skilled employee / official,small city
100001389,female,married,29,high school,98204,skilled employee / official,small city
100001390,female,married,32,high school,127071,skilled employee / official,small city
100001391,female,married,45,university,85115,unemployed/ unskilled,small city
100001392,female,married,58,university,104013,unemployed/ unskilled,small city
100001393,female,married,25,high school,89863,skilled employee / official,small city
100001394,female,married,67,graduate school,135300,skilled employee / official,small city
100001395,female,married,53,university,107861,unemployed/ unskilled,small city
100001396,female,married,24,high school,123994,skilled employee / official,small city
100001397,female,single,20,high school,91270,unemployed/ unskilled,small city
100001398,female,married,71,graduate school,133245,unemployed/ unskilled,small city
100001399,female,married,31,high school,118594,skilled employee / official,mid-sized city
100001400,female,married,27,high school,40606,unemployed/ unskilled,small city
100001401,female,married,36,high school,129304,unemployed/ unskilled,small city
100001402,female,married,25,high school,113118,skilled employee / official,small city
100001403,female,single,41,high school,133131,skilled employee / official,small city
100001404,female,married,30,high school,106876,skilled employee / official,mid-sized city
100001405,female,married,32,high school,130870,skilled employee / official,mid-sized city
100001406,female,married,29,high school,125621,unemployed/ unskilled,small city
100001407,female,single,27,high school,78923,unemployed/ unskilled,small city
100001408,female,married,32,high school,123983,skilled employee / official,small city
100001409,female,married,25,high school,75184,unemployed/ unskilled,small city
100001410,female,single,24,high school,109693,skilled employee / official,small city
100001411,female,married,63,university,86273,unemployed/ unskilled,small city
100001412,female,single,42,university,113190,unemployed/ unskilled,small city
100001413,female,married,22,high school,109274,unemployed/ unskilled,small city
100001414,female,married,46,university,143489,skilled employee / official,mid-sized city
100001415,female,married,24,high school,99570,skilled employee / official,mid-sized city
100001416,female,single,30,high school,139468,skilled employee / official,mid-sized city
100001417,female,married,44,university,108627,unemployed/ unskilled,small city
100001418,female,single,25,high school,106355,skilled employee / official,small city
100001419,female,married,27,high school,96952,skilled employee / official,small city
100001420,female,married,27,high school,141502,skilled employee / official,mid-sized city
100001421,female,married,34,high school,110420,skilled employee / official,mid-sized city
100001422,female,married,18,high school,97741,skilled employee / official,mid-sized city
100001423,female,married,25,high school,99583,skilled employee / official,mid-sized city
100001424,female,married,21,high school,63698,unemployed/ unskilled,small city
100001425,female,married,26,high school,116688,skilled employee / official,mid-sized city
100001426,female,married,27,high school,131542,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001427,female,single,25,high school,136055,skilled employee / official,mid-sized city
100001428,female,married,30,high school,100195,skilled employee / official,mid-sized city
100001429,female,single,66,graduate school,131001,skilled employee / official,small city
100001430,female,married,25,high school,104062,skilled employee / official,mid-sized city
100001431,female,married,43,university,137689,skilled employee / official,small city
100001432,female,married,35,high school,137705,skilled employee / official,mid-sized city
100001433,female,single,70,graduate school,69915,unemployed/ unskilled,small city
100001434,female,single,35,high school,68731,unemployed/ unskilled,small city
100001435,female,married,26,high school,105726,skilled employee / official,small city
100001436,female,single,29,high school,78078,unemployed/ unskilled,small city
100001437,female,married,22,high school,110835,unemployed/ unskilled,small city
100001438,female,single,26,high school,115531,skilled employee / official,mid-sized city
100001439,female,married,36,high school,92723,unemployed/ unskilled,small city
100001440,female,married,35,high school,107509,skilled employee / official,mid-sized city
100001441,female,married,28,high school,116763,skilled employee / official,mid-sized city
100001442,female,married,24,high school,100733,skilled employee / official,small city
100001443,female,married,34,high school,92652,unemployed/ unskilled,small city
100001444,female,married,25,high school,106987,skilled employee / official,small city
100001445,female,married,54,university,51882,unemployed/ unskilled,small city
100001446,female,single,46,university,104751,unemployed/ unskilled,small city
100001447,female,married,42,high school,50947,unemployed/ unskilled,small city
100001448,female,single,45,university,126986,unemployed/ unskilled,small city
100001449,female,single,48,university,110223,unemployed/ unskilled,small city
100001450,female,single,21,high school,100591,unemployed/ unskilled,small city
100001451,female,married,31,high school,123257,skilled employee / official,small city
100001452,female,single,35,high school,137736,skilled employee / official,mid-sized city
100001453,female,married,36,high school,110221,skilled employee / official,mid-sized city
100001454,female,married,32,high school,99703,unemployed/ unskilled,small city
100001455,female,married,26,high school,106667,unemployed/ unskilled,small city
100001456,female,married,34,high school,143319,skilled employee / official,small city
100001457,female,married,65,university,135557,skilled employee / official,mid-sized city
100001458,female,married,50,university,93390,unemployed/ unskilled,small city
100001459,female,married,39,high school,97577,skilled employee / official,small city
100001460,female,single,52,university,124196,unemployed/ unskilled,small city
100001461,female,married,36,high school,81136,unemployed/ unskilled,small city
100001462,female,married,29,high school,119439,skilled employee / official,small city
100001463,female,married,36,high school,145231,skilled employee / official,mid-sized city
100001464,female,married,36,high school,85623,unemployed/ unskilled,small city
100001465,female,married,27,high school,145373,skilled employee / official,mid-sized city
100001466,female,married,36,high school,135896,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001467,female,married,26,high school,106470,skilled employee / official,mid-sized city
100001468,female,single,57,university,113334,skilled employee / official,mid-sized city
100001469,female,single,27,high school,100560,unemployed/ unskilled,small city
100001470,female,married,58,university,108442,unemployed/ unskilled,small city
100001471,female,married,27,high school,64472,unemployed/ unskilled,small city
100001472,female,married,49,university,120207,skilled employee / official,small city
100001473,female,married,43,university,101680,skilled employee / official,small city
100001474,female,single,45,university,92342,unemployed/ unskilled,small city
100001475,female,married,27,high school,98611,unemployed/ unskilled,small city
100001476,female,married,34,high school,97613,skilled employee / official,mid-sized city
100001477,female,married,21,high school,82298,unemployed/ unskilled,small city
100001478,female,married,54,university,125302,skilled employee / official,mid-sized city
100001479,female,married,43,university,108725,unemployed/ unskilled,small city
100001480,female,single,25,high school,85569,unemployed/ unskilled,small city
100001481,female,single,57,university,110372,unemployed/ unskilled,small city
100001482,female,married,26,high school,100511,skilled employee / official,mid-sized city
100001483,female,single,30,high school,110455,skilled employee / official,small city
100001484,female,single,58,university,141993,unemployed/ unskilled,small city
100001485,female,married,25,high school,121789,skilled employee / official,mid-sized city
100001486,female,married,23,high school,138967,skilled employee / official,small city
100001487,female,single,22,high school,105230,skilled employee / official,small city
100001488,female,married,21,high school,90656,skilled employee / official,mid-sized city
100001489,female,married,20,high school,115445,skilled employee / official,mid-sized city
100001490,female,married,22,high school,59955,unemployed/ unskilled,small city
100001491,female,single,27,high school,126268,skilled employee / official,mid-sized city
100001492,female,single,24,high school,80830,unemployed/ unskilled,small city
100001493,female,married,23,high school,123625,skilled employee / official,small city
100001494,female,married,26,high school,102543,skilled employee / official,mid-sized city
100001495,female,single,28,high school,101948,skilled employee / official,small city
100001496,female,married,64,graduate school,142280,skilled employee / official,small city
100001497,female,married,26,high school,105434,skilled employee / official,mid-sized city
100001498,female,married,31,high school,106115,skilled employee / official,small city
100001499,female,single,28,high school,111057,unemployed/ unskilled,small city
100001500,female,married,25,high school,117758,skilled employee / official,mid-sized city
100001501,female,single,49,university,118396,unemployed/ unskilled,small city
100001502,female,married,33,high school,136260,skilled employee / official,mid-sized city
100001503,female,single,27,high school,97192,skilled employee / official,small city
100001504,female,married,59,university,62101,unemployed/ unskilled,small city
100001505,female,married,28,high school,123497,skilled employee / official,small city
100001506,female,married,24,high school,120326,skilled employee / official,mid-sized city
100001507,female,married,26,high school,66645,unemployed/ unskilled,small city
100001508,female,single,33,high school,83429,unemployed/ unskilled,small city
100001509,female,single,37,high school,107539,skilled employee / official,mid-sized city
100001510,female,married,46,university,153880,skilled employee / official,small city
100001511,female,married,62,university,140178,unemployed/ unskilled,mid-sized city
100001512,female,single,26,high school,100402,unemployed/ unskilled,small city
100001513,female,married,49,university,122158,unemployed/ unskilled,small city
100001514,female,married,25,high school,89331,unemployed/ unskilled,small city
100001515,female,married,37,high school,125359,unemployed/ unskilled,small city
100001516,female,single,31,high school,124110,skilled employee / official,small city
100001517,female,single,25,high school,93526,unemployed/ unskilled,small city
100001518,female,married,21,high school,70170,unemployed/ unskilled,small city
100001519,female,married,27,high school,82357,unemployed/ unskilled,small city
100001520,female,married,29,high school,126745,skilled employee / official,small city
100001521,female,married,30,high school,103326,skilled employee / official,mid-sized city
100001522,female,married,26,high school,116048,skilled employee / official,mid-sized city
100001523,female,married,40,university,137115,unemployed/ unskilled,small city
100001524,female,married,23,high school,105365,skilled employee / official,mid-sized city
100001525,female,married,31,high school,95911,skilled employee / official,small city
100001526,female,married,29,high school,88669,unemployed/ unskilled,small city
100001527,female,single,22,high school,103776,unemployed/ unskilled,small city
100001528,female,married,26,high school,108864,skilled employee / official,mid-sized city
100001529,female,single,39,high school,106037,skilled employee / official,mid-sized city
100001530,female,single,35,high school,84851,unemployed/ unskilled,small city
100001531,female,married,26,high school,95748,skilled employee / official,mid-sized city
100001532,female,married,28,high school,133616,skilled employee / official,mid-sized city
100001533,female,married,56,university,132752,skilled employee / official,small city
100001534,female,married,22,high school,95712,skilled employee / official,mid-sized city
100001535,female,married,26,high school,109063,skilled employee / official,small city
100001536,female,single,41,high school,113521,skilled employee / official,small city
100001537,female,married,29,high school,109380,skilled employee / official,mid-sized city
100001538,female,married,42,university,82558,unemployed/ unskilled,small city
100001539,female,married,50,university,124777,skilled employee / official,mid-sized city
100001540,female,married,33,high school,133542,skilled employee / official,small city
100001541,female,married,28,high school,116492,skilled employee / official,mid-sized city
100001542,female,married,27,high school,68834,unemployed/ unskilled,small city
100001543,female,married,27,high school,124023,skilled employee / official,small city
100001544,female,single,28,high school,63882,unemployed/ unskilled,small city
100001545,female,married,24,high school,122492,skilled employee / official,mid-sized city
100001546,female,single,28,high school,141453,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001547,female,married,32,high school,99327,skilled employee / official,small city
100001548,female,single,32,high school,45590,unemployed/ unskilled,small city
100001549,female,single,30,high school,71167,unemployed/ unskilled,small city
100001550,female,married,29,high school,111992,skilled employee / official,small city
100001551,female,married,37,high school,145140,skilled employee / official,mid-sized city
100001552,female,married,24,high school,49672,unemployed/ unskilled,small city
100001553,female,married,36,high school,75536,unemployed/ unskilled,small city
100001554,female,married,40,university,86720,unemployed/ unskilled,small city
100001555,female,married,51,university,97729,unemployed/ unskilled,small city
100001556,female,married,33,high school,106808,unemployed/ unskilled,small city
100001557,female,single,31,high school,117971,skilled employee / official,small city
100001558,female,married,29,high school,97731,skilled employee / official,mid-sized city
100001559,female,single,48,university,109196,unemployed/ unskilled,small city
100001560,female,married,25,high school,94905,skilled employee / official,small city
100001561,female,single,28,high school,57480,unemployed/ unskilled,small city
100001562,female,married,23,high school,109175,skilled employee / official,mid-sized city
100001563,female,married,32,high school,111174,skilled employee / official,mid-sized city
100001564,female,married,34,high school,127255,skilled employee / official,small city
100001565,female,single,23,high school,115499,skilled employee / official,small city
100001566,female,married,25,high school,109499,skilled employee / official,mid-sized city
100001567,female,single,25,high school,104696,skilled employee / official,small city
100001568,female,married,27,high school,104467,skilled employee / official,small city
100001569,female,married,29,high school,120157,skilled employee / official,small city
100001570,female,married,46,university,81200,unemployed/ unskilled,small city
100001571,female,married,61,university,97558,unemployed/ unskilled,small city
100001572,female,married,25,high school,95914,skilled employee / official,small city
100001573,female,married,67,graduate school,128053,skilled employee / official,small city
100001574,female,married,49,university,101734,unemployed/ unskilled,small city
100001575,female,married,21,high school,126009,skilled employee / official,small city
100001576,female,single,19,high school,91232,unemployed/ unskilled,small city
100001577,female,married,67,graduate school,128343,unemployed/ unskilled,small city
100001578,female,married,31,high school,110040,skilled employee / official,mid-sized city
100001579,female,married,27,high school,38247,unemployed/ unskilled,small city
100001580,female,married,37,high school,129027,unemployed/ unskilled,small city
100001581,female,married,27,high school,115026,skilled employee / official,small city
100001582,female,single,36,high school,130323,skilled employee / official,small city
100001583,female,married,24,high school,103181,skilled employee / official,mid-sized city
100001584,female,married,31,high school,138307,skilled employee / official,mid-sized city
100001585,female,married,29,high school,122564,unemployed/ unskilled,small city
100001586,female,single,28,high school,82351,unemployed/ unskilled,small city
100001587,female,married,34,high school,125351,skilled employee / official,small city
100001588,female,married,26,high school,82940,unemployed/ unskilled,small city
100001589,female,single,21,high school,108029,skilled employee / official,small city
100001590,female,married,63,university,82734,unemployed/ unskilled,small city
100001591,female,single,38,university,116816,unemployed/ unskilled,small city
100001592,female,married,20,high school,113472,unemployed/ unskilled,small city
100001593,female,married,44,university,143343,skilled employee / official,mid-sized city
100001594,female,married,31,high school,104074,skilled employee / official,mid-sized city
100001595,female,single,33,high school,138525,skilled employee / official,mid-sized city
100001596,female,married,49,university,106960,unemployed/ unskilled,small city
100001597,female,single,26,high school,108323,skilled employee / official,small city
100001598,female,married,28,high school,95784,skilled employee / official,small city
100001599,female,married,30,high school,140673,skilled employee / official,mid-sized city
100001600,female,married,36,high school,104235,skilled employee / official,mid-sized city
100001601,female,married,27,high school,54041,unemployed/ unskilled,small city
100001602,male,single,23,other / unknown,107961,unemployed/ unskilled,small city
100001603,male,single,31,other / unknown,113757,skilled employee / official,small city
100001604,female,married,27,high school,94884,skilled employee / official,small city
100001605,female,married,25,high school,126041,skilled employee / official,small city
100001606,female,married,23,high school,64952,unemployed/ unskilled,small city
100001607,male,married,27,high school,66764,unemployed/ unskilled,small city
100001608,female,single,38,high school,67861,unemployed/ unskilled,small city
100001609,male,single,44,high school,113516,unemployed/ unskilled,small city
100001610,female,married,42,high school,46109,unemployed/ unskilled,small city
100001611,female,married,25,high school,103651,unemployed/ unskilled,small city
100001612,male,married,40,high school,75043,unemployed/ unskilled,small city
100001613,female,married,24,high school,116473,unemployed/ unskilled,small city
100001614,female,single,39,high school,96614,unemployed/ unskilled,small city
100001615,male,single,24,other / unknown,66447,unemployed/ unskilled,small city
100001616,female,single,50,high school,119068,skilled employee / official,small city
100001617,female,married,28,high school,122973,unemployed/ unskilled,small city
100001618,female,married,36,high school,81609,unemployed/ unskilled,small city
100001619,male,single,36,high school,105519,skilled employee / official,small city
100001620,female,married,40,high school,86649,unemployed/ unskilled,small city
100001621,female,single,31,other / unknown,76384,unemployed/ unskilled,small city
100001622,male,married,27,high school,67136,unemployed/ unskilled,small city
100001623,female,married,35,high school,93155,unemployed/ unskilled,small city
100001624,male,single,51,high school,124183,unemployed/ unskilled,small city
100001625,female,single,26,other / unknown,64860,unemployed/ unskilled,small city
100001626,male,single,33,high school,87232,unemployed/ unskilled,small city
100001627,female,married,27,high school,92304,unemployed/ unskilled,small city
100001628,male,single,38,high school,84254,unemployed/ unskilled,small city
100001629,female,single,30,other / unknown,106696,skilled employee / official,small city
100001630,male,single,28,other / unknown,113212,skilled employee / official,small city
100001631,male,single,23,other / unknown,71076,unemployed/ unskilled,small city
100001632,female,married,23,high school,114270,unemployed/ unskilled,small city
100001633,female,married,26,high school,125538,skilled employee / official,small city
100001634,female,married,21,high school,92442,unemployed/ unskilled,small city
100001635,female,single,36,high school,75297,unemployed/ unskilled,small city
100001636,female,married,24,high school,65707,unemployed/ unskilled,small city
100001637,male,single,41,high school,120387,skilled employee / official,small city
100001638,male,single,42,high school,120946,skilled employee / official,small city
100001639,male,single,27,other / unknown,73265,unemployed/ unskilled,small city
100001640,male,married,40,high school,77481,unemployed/ unskilled,small city
100001641,female,married,34,high school,91282,unemployed/ unskilled,small city
100001642,male,single,40,high school,104405,unemployed/ unskilled,small city
100001643,male,single,33,high school,99646,skilled employee / official,small city
100001644,female,single,49,high school,97791,unemployed/ unskilled,small city
100001645,male,single,28,other / unknown,81878,unemployed/ unskilled,small city
100001646,female,married,26,high school,107908,skilled employee / official,small city
100001647,female,single,40,high school,98608,unemployed/ unskilled,small city
100001648,male,single,47,high school,95228,unemployed/ unskilled,small city
100001649,female,married,41,high school,128163,skilled employee / official,small city
100001650,female,married,29,high school,94325,unemployed/ unskilled,small city
100001651,female,married,37,high school,90815,unemployed/ unskilled,small city
100001652,male,single,31,other / unknown,120719,skilled employee / official,small city
100001653,male,single,35,high school,110159,skilled employee / official,small city
100001654,male,single,35,high school,124490,skilled employee / official,small city
100001655,female,married,29,high school,75161,unemployed/ unskilled,small city
100001656,female,single,37,high school,127206,skilled employee / official,small city
100001657,male,single,37,high school,83660,unemployed/ unskilled,small city
100001658,female,married,26,high school,87400,unemployed/ unskilled,small city
100001659,female,married,28,high school,78942,unemployed/ unskilled,small city
100001660,female,married,23,high school,88452,unemployed/ unskilled,small city
100001661,male,single,38,high school,104128,skilled employee / official,small city
100001662,female,married,30,high school,100313,skilled employee / official,small city
100001663,female,single,45,high school,107387,skilled employee / official,small city
100001664,male,single,24,other / unknown,84355,unemployed/ unskilled,small city
100001665,female,single,35,high school,112723,skilled employee / official,small city
100001666,female,married,41,high school,115892,skilled employee / official,small city
100001667,male,married,30,high school,106597,skilled employee / official,small city
100001668,female,married,30,high school,121327,skilled employee / official,small city
100001669,female,married,26,high school,92559,unemployed/ unskilled,small city
100001670,female,married,25,high school,87537,unemployed/ unskilled,small city
100001671,female,married,23,high school,70569,unemployed/ unskilled,small city
100001672,female,married,27,high school,85294,unemployed/ unskilled,small city
100001673,female,single,26,other / unknown,70905,unemployed/ unskilled,small city
100001674,male,single,25,other / unknown,103716,unemployed/ unskilled,small city
100001675,male,married,27,high school,94947,skilled employee / official,small city
100001676,female,single,42,high school,80116,unemployed/ unskilled,small city
100001677,male,single,35,high school,86492,unemployed/ unskilled,small city
100001678,female,married,25,high school,88672,unemployed/ unskilled,small city
100001679,female,married,26,high school,82984,unemployed/ unskilled,small city
100001680,male,single,38,high school,128100,skilled employee / official,small city
100001681,female,single,28,other / unknown,72869,unemployed/ unskilled,small city
100001682,male,married,33,high school,112227,skilled employee / official,small city
100001683,female,single,40,high school,94674,unemployed/ unskilled,small city
100001684,female,married,23,high school,101003,skilled employee / official,small city
100001685,female,single,25,other / unknown,112924,skilled employee / official,small city
100001686,female,single,28,other / unknown,108645,unemployed/ unskilled,small city
100001687,male,single,41,high school,69415,unemployed/ unskilled,small city
100001688,female,single,50,high school,112204,unemployed/ unskilled,small city
100001689,female,married,23,high school,109700,skilled employee / official,small city
100001690,female,married,26,high school,104484,skilled employee / official,small city
100001691,female,married,22,high school,61239,unemployed/ unskilled,small city
100001692,male,single,37,high school,119602,unemployed/ unskilled,small city
100001693,female,single,38,high school,81014,unemployed/ unskilled,small city
100001694,female,married,22,high school,68165,unemployed/ unskilled,small city
100001695,female,single,30,other / unknown,88652,unemployed/ unskilled,small city
100001696,male,single,38,high school,75705,unemployed/ unskilled,small city
100001697,female,married,36,high school,104189,skilled employee / official,small city
100001698,male,single,41,high school,71603,unemployed/ unskilled,small city
100001699,female,married,29,high school,121914,skilled employee / official,small city
100001700,female,married,31,high school,106637,skilled employee / official,small city
100001701,female,single,31,other / unknown,99800,skilled employee / official,small city
100001702,female,single,21,other / unknown,67629,unemployed/ unskilled,small city
100001703,male,single,32,other / unknown,120354,skilled employee / official,small city
100001704,female,married,35,high school,122110,skilled employee / official,small city
100001705,male,single,29,other / unknown,89170,unemployed/ unskilled,small city
100001706,female,single,34,high school,109195,skilled employee / official,small city
100001707,female,single,38,high school,92392,unemployed/ unskilled,small city
100001708,female,married,33,high school,43805,unemployed/ unskilled,small city
100001709,female,married,28,high school,68389,unemployed/ unskilled,small city
100001710,female,married,28,high school,112521,skilled employee / official,small city
100001711,male,single,21,other / unknown,59255,unemployed/ unskilled,small city
100001712,female,married,29,high school,98612,unemployed/ unskilled,small city
100001713,female,married,26,high school,70649,unemployed/ unskilled,small city
100001714,female,single,40,high school,95228,unemployed/ unskilled,small city
100001715,female,single,25,other / unknown,46865,unemployed/ unskilled,small city
100001716,male,married,20,high school,101688,skilled employee / official,small city
100001717,female,married,23,high school,62618,unemployed/ unskilled,small city
100001718,female,single,27,other / unknown,102531,skilled employee / official,small city
100001719,female,single,36,high school,100737,skilled employee / official,small city
100001720,female,married,25,high school,107321,skilled employee / official,small city
100001721,female,married,25,high school,112879,unemployed/ unskilled,small city
100001722,female,married,34,high school,125372,unemployed/ unskilled,small city
100001723,female,single,24,other / unknown,69419,unemployed/ unskilled,small city
100001724,female,single,36,high school,124759,skilled employee / official,small city
100001725,female,single,40,high school,79076,unemployed/ unskilled,small city
100001726,male,single,39,high school,84779,unemployed/ unskilled,small city
100001727,female,single,42,high school,77393,unemployed/ unskilled,small city
100001728,male,single,35,high school,113187,unemployed/ unskilled,small city
100001729,female,married,27,high school,99100,skilled employee / official,small city
100001730,male,single,27,other / unknown,64954,unemployed/ unskilled,small city
100001731,female,married,23,high school,103244,skilled employee / official,small city
100001732,female,married,32,high school,124975,skilled employee / official,small city
100001733,male,married,28,high school,133582,skilled employee / official,small city
100001734,male,single,22,other / unknown,103519,skilled employee / official,small city
100001735,male,single,31,other / unknown,117813,skilled employee / official,small city
100001736,female,married,22,high school,119902,skilled employee / official,small city
100001737,male,single,23,other / unknown,70783,unemployed/ unskilled,small city
100001738,female,married,35,high school,125470,unemployed/ unskilled,small city
100001739,female,married,26,high school,109782,unemployed/ unskilled,small city
100001740,female,married,28,high school,78322,unemployed/ unskilled,small city
100001741,male,single,54,high school,125517,skilled employee / official,small city
100001742,female,single,49,high school,102463,unemployed/ unskilled,small city
100001743,female,single,38,high school,89309,unemployed/ unskilled,small city
100001744,female,single,47,high school,110287,skilled employee / official,small city
100001745,female,single,49,high school,122391,unemployed/ unskilled,small city
100001746,female,married,30,high school,116399,skilled employee / official,small city
100001747,female,single,32,other / unknown,81907,unemployed/ unskilled,small city
100001748,female,married,24,high school,97909,unemployed/ unskilled,small city
100001749,female,single,25,other / unknown,68051,unemployed/ unskilled,small city
100001750,male,single,33,high school,82414,unemployed/ unskilled,small city
100001751,female,married,34,high school,123089,skilled employee / official,small city
100001752,female,married,24,high school,66537,unemployed/ unskilled,small city
100001753,female,single,36,high school,127926,unemployed/ unskilled,small city
100001754,female,single,41,high school,78963,unemployed/ unskilled,small city
100001755,male,married,33,high school,108694,skilled employee / official,small city
100001756,female,married,26,high school,100892,skilled employee / official,small city
100001757,female,single,36,high school,119560,skilled employee / official,small city
100001758,female,single,35,high school,116176,unemployed/ unskilled,small city
100001759,male,single,29,other / unknown,111854,skilled employee / official,small city
100001760,female,married,26,high school,69831,unemployed/ unskilled,small city
100001761,male,single,31,other / unknown,69375,unemployed/ unskilled,small city
100001762,male,married,26,high school,71310,unemployed/ unskilled,small city
100001763,male,single,47,high school,73913,unemployed/ unskilled,small city
100001764,male,married,20,high school,95492,skilled employee / official,small city
100001765,male,single,45,high school,109329,unemployed/ unskilled,small city
100001766,male,single,36,high school,116027,skilled employee / official,small city
100001767,male,married,31,high school,81987,unemployed/ unskilled,small city
100001768,female,single,41,high school,83481,unemployed/ unskilled,small city
100001769,female,single,31,other / unknown,72361,unemployed/ unskilled,small city
100001770,female,married,27,high school,106625,unemployed/ unskilled,small city
100001771,female,married,32,high school,123707,skilled employee / official,small city
100001772,female,single,43,high school,79353,unemployed/ unskilled,small city
100001773,female,single,32,other / unknown,68347,unemployed/ unskilled,small city
100001774,female,married,29,high school,115832,skilled employee / official,small city
100001775,male,single,37,high school,89946,unemployed/ unskilled,small city
100001776,female,single,35,high school,86319,unemployed/ unskilled,small city
100001777,female,married,23,high school,70963,unemployed/ unskilled,small city
100001778,male,single,40,high school,106120,skilled employee / official,small city
100001779,female,married,26,high school,97856,skilled employee / official,small city
100001780,male,single,28,other / unknown,61824,unemployed/ unskilled,small city
100001781,female,married,40,high school,103907,skilled employee / official,small city
100001782,female,married,26,high school,99953,unemployed/ unskilled,small city
100001783,female,married,23,high school,113413,skilled employee / official,small city
100001784,male,single,26,other / unknown,107091,unemployed/ unskilled,small city
100001785,male,single,26,other / unknown,124783,skilled employee / official,small city
100001786,female,single,49,high school,92281,unemployed/ unskilled,small city
100001787,female,married,26,high school,96219,skilled employee / official,small city
100001788,female,single,35,high school,86221,unemployed/ unskilled,small city
100001789,female,married,24,high school,80962,unemployed/ unskilled,small city
100001790,female,single,46,high school,78754,unemployed/ unskilled,small city
100001791,male,single,26,other / unknown,60026,unemployed/ unskilled,small city
100001792,male,single,47,high school,88157,unemployed/ unskilled,small city
100001793,male,single,27,other / unknown,59881,unemployed/ unskilled,small city
100001794,male,married,41,high school,112818,skilled employee / official,small city
100001795,female,married,29,high school,102250,skilled employee / official,small city
100001796,female,married,28,high school,38980,unemployed/ unskilled,small city
